File_name; Goéland - Time; Goéland - Result; Goéland+DMT - Time; Goéland+DMT - Result
SYN981+1;0.08488;Unknown;0.00289;Unknown;
SYN383+1;0.00256;Unknown;0.00308;Unknown;
SYN974+1;0.00315;Unknown;0.0034;Unknown;
SYN355+1;0.00329;Unknown;0.0029;Unknown;
SYN375+1;0.00281;Unknown;0.00288;Unknown;
SYN726+1;0.00309;Unknown;0.00318;Unknown;
SYN945+1;0.00324;Unknown;0.00294;Unknown;
SYN380+1;0.00338;Unknown;0.00301;Unknown;
SYN444+1;0.00349;Unknown;0.00326;Unknown;
SYN436+1;0.00344;Unknown;0.00277;Unknown;
SYN501+1;0.00292;Unknown;0.00342;Unknown;
SYN953+1;0.00304;Unknown;0.00338;Unknown;
SYN413+1;0.00292;Unknown;0.00268;Unknown;
SYN068+1;0.00342;Unknown;0.00321;Unknown;
SYN061+1;0.00321;Unknown;0.00306;Unknown;
SYN345+1;0.00261;Unknown;0.003;Unknown;
SYN955+1;0.00319;Unknown;0.00313;Unknown;
SYN059+1;0.00359;Unknown;0.00264;Unknown;
SYN407+1;0.00272;Unknown;0.00331;Unknown;
SYN723+1;0.00293;Unknown;0.00312;Unknown;
SYN346+1;0.00317;Unknown;0.00293;Unknown;
SYN458+1;0.00316;Unknown;0.00305;Unknown;
SYN050+1;0.00307;Unknown;0.01281;Unknown;
SYN510+1;0.00816;Unknown;0.00424;Unknown;
SYN058+1;0.00445;Unknown;0.00394;Unknown;
SYN479+1;0.0033;Unknown;0.00325;Unknown;
SYN918+1;0.06909;Unknown;0.00312;Unknown;
SYN439+1;0.00268;Unknown;0.00293;Unknown;
SYN377+1;0.00292;Unknown;0.00325;Unknown;
SYN478+1;0.00325;Unknown;0.003;Unknown;
SYN966+1;0.00345;Unknown;0.00283;Unknown;
SYN921+1;0.00273;Unknown;0.00314;Unknown;
SYN727+1;0.00298;Unknown;0.00294;Unknown;
SYN502+1;0.00349;Unknown;0.00297;Unknown;
SYN364+1;0.00316;Unknown;0.00313;Unknown;
SYN505+1;0.00298;Unknown;0.00354;Unknown;
SYN951+1;0.00289;Unknown;0.00326;Unknown;
SYN939+1;0.0031;Unknown;0.00316;Unknown;
SYN550+1;0.00345;Unknown;0.00267;Unknown;
SYN401+1;0.00647;Unknown;0.00504;Unknown;
SYN046+1;0.00327;Unknown;0.00283;Unknown;
SYN923+1;0.00319;Unknown;0.00322;Unknown;
SYN959+1;0.00298;Unknown;0.0036;Unknown;
SYN484+1;0.00302;Unknown;0.00322;Unknown;
SYN411+1;0.00346;Unknown;0.00294;Unknown;
SYN388+1;0.00329;Unknown;0.00297;Unknown;
SYN512+1;0.00291;Unknown;0.00313;Unknown;
SYN052+1;0.00287;Unknown;0.00305;Unknown;
SYN962+1;0.0033;Unknown;0.00333;Unknown;
SYN317+1;0.00311;Unknown;0.00308;Unknown;
SYN932+1;0.00317;Unknown;0.00323;Unknown;
SYN384+1;0.00294;Unknown;0.00325;Unknown;
SYN942+1;0.0031;Unknown;0.00297;Unknown;
SYN948+1;0.00345;Unknown;0.0031;Unknown;
SYN398+1;0.0031;Unknown;0.00323;Unknown;
SYN548+1;0.00303;Unknown;0.00362;Unknown;
SYN366+1;0.00314;Unknown;0.00331;Unknown;
SYN460+1;0.00322;Unknown;0.0031;Unknown;
SYN970+1;0.00304;Unknown;0.00282;Unknown;
SYN459+1;0.00302;Unknown;0.00328;Unknown;
SYN079+1;0.00293;Unknown;0.00371;Unknown;
SYN475+1;0.00287;Unknown;0.00303;Unknown;
SYN961+1;0.00343;Unknown;0.00327;Unknown;
SYN354+1;0.00323;Unknown;0.0033;Unknown;
SYN928+1;0.00327;Unknown;0.00364;Unknown;
SYN338+1;0.00305;Unknown;0.00309;Unknown;
SYN476+1;0.00334;Unknown;0.00341;Unknown;
SYN447+1;0.0034;Unknown;0.00286;Unknown;
SYN051+1;0.00311;Unknown;0.00305;Unknown;
SYN323+1;0.00303;Unknown;0.00302;Unknown;
SYN470+1;0.00376;Unknown;0.00313;Unknown;
SYN372+1;0.00312;Unknown;0.00457;Unknown;
SYN980+1;0.0034;Unknown;0.0031;Unknown;
SYN978+1;0.00298;Unknown;0.00416;Unknown;
SYN359+1;0.00545;Unknown;0.00323;Unknown;
SYN041+1;0.00306;Unknown;0.00351;Unknown;
SYN395+1;0.00323;Unknown;0.00334;Unknown;
SYN965+1;0.00345;Unknown;0.0029;Unknown;
SYN472+1;0.00353;Unknown;0.00328;Unknown;
SYN007+1.014;0.00351;Unknown;0.00296;Unknown;
SYN927+1;0.0028;Unknown;0.00336;Unknown;
SYN049+1;0.00298;Unknown;0.00355;Unknown;
SYN390+1;0.00289;Unknown;0.00285;Unknown;
SYN410+1;0.00323;Unknown;0.00297;Unknown;
SYN963+1;0.00298;Unknown;0.00306;Unknown;
SYN499+1;0.00311;Unknown;0.0032;Unknown;
SYN506+1;0.00289;Unknown;0.00277;Unknown;
SYN508+1;0.00336;Unknown;0.00304;Unknown;
SYN500+1;0.00306;Unknown;0.00333;Unknown;
SYN969+1;0.00302;Unknown;0.00322;Unknown;
SYN733+1;0.003;Unknown;0.00293;Unknown;
SYN917+1;0.00333;Unknown;0.00283;Unknown;
SYN977+1;0.00302;Unknown;0.00304;Unknown;
SYN940+1;0.00305;Unknown;0.00347;Unknown;
SYN938+1;0.00305;Unknown;0.00318;Unknown;
SYN949+1;0.00302;Unknown;0.00288;Unknown;
SYN325+1;0.00379;Unknown;0.00293;Unknown;
SYN406+1;0.003;Unknown;0.00309;Unknown;
SYN457+1;0.00323;Unknown;0.00297;Unknown;
SYN062+1;0.00338;Unknown;0.00298;Unknown;
SYN947+1;0.00338;Unknown;0.00349;Unknown;
SYN507+1;0.00289;Unknown;0.00344;Unknown;
SYN392+1;0.00309;Unknown;0.00312;Unknown;
SYN964+1;0.00329;Unknown;0.00286;Unknown;
SYN351+1;0.00343;Unknown;0.00298;Unknown;
SYN326+1;0.00305;Unknown;0.00322;Unknown;
SYN973+1;0.003;Unknown;0.00393;Unknown;
SYN063+1;0.00819;Unknown;0.00616;Unknown;
SYN405+1;0.00543;Unknown;0.00779;Unknown;
SYN416+1;0.0054;Unknown;0.00312;Unknown;
SYN365+1;0.00367;Unknown;0.00319;Unknown;
SYN946+1;0.00337;Unknown;0.00353;Unknown;
SYN466+1;0.00341;Unknown;0.00314;Unknown;
SYN481+1;0.00335;Unknown;0.00293;Unknown;
SYN321+1;0.00337;Unknown;0.00299;Unknown;
SYN318+1;0.00316;Unknown;0.00329;Unknown;
SYN070+1;0.00291;Unknown;0.00342;Unknown;
SYN957+1;0.00282;Unknown;0.00296;Unknown;
SYN971+1;0.00344;Unknown;0.00313;Unknown;
SYN482+1;0.00342;Unknown;0.00303;Unknown;
SYN362+1;0.00333;Unknown;0.00328;Unknown;
SYN336+1;0.00306;Unknown;0.00293;Unknown;
SYN730+1;0.00301;Unknown;0.00274;Unknown;
SYN373+1;0.0032;Unknown;0.00297;Unknown;
SYN064+1;0.00331;Unknown;0.00303;Unknown;
SYN357+1;0.00273;Unknown;0.00307;Unknown;
SYN448+1;0.00306;Unknown;0.00302;Unknown;
SYN047+1;0.00354;Unknown;0.00304;Unknown;
SYN368+1;0.00322;Unknown;0.00302;Unknown;
SYN483+1;0.00309;Unknown;